Ioff,Ion,SS,Vth
98.6783,49.3744,78.3637,23.264
97.9676,49.7059,80.2824,23.124
101.666,49.2036,76.2825,25.06
113.888,49.6655,70.898,33.497
110.993,49.9543,72.63,31.333
120.094,50.4787,71.356,37.725
107.43,50.0326,72.456,28.483
96.3449,49.9278,76.8112,20.975
95.2607,49.6658,77.3768,20.322
89.8568,49.4213,78.05546,16.104
102.579,49.6858,76.975,25.973
103.306,49.7029,76.576,26.492
106.573,49.6757,77.595,29.823
103.805,49.7665,77.114,26.975
107.28,50.1649,74.391,29.019
113.823,49.9707,70.615,32.439
115.379,50.6636,74.835,35.199
103.072,49.7304,77.096,26.439
98.6532,49.984,80.8232,23.999
109.969,50.4916,73.865,30.769
96.2764,49.5399,78.3442,21.377
100.773,49.572,76.0266,24.215
102.836,49.9149,76.2788,25.802
110.912,50.7684,76.676,32.341
107.294,49.7019,74.625,28.978
100.228,49.8265,76.7116,24.067
104.82,50.0714,72.515,26.49
108.32,50.0286,74.816,29.905
100.882,50.1617,78.4177,25.171
95.9526,49.4422,77.4537,20.757
104.012,49.8112,79.212,28.026
112.271,49.9663,69.958,31.353
99.5739,49.9146,77.7971,23.747
108.861,50.2423,75.607,30.529
101.249,49.6094,77.5512,25.041
102.352,49.6678,77.679,26.249
101.078,49.3656,77.1612,24.698
101.799,49.5461,76.8206,25.332
104.946,49.766,75.745,27.505
94.6008,50.0712,79.3089,20.304
107.63,49.8015,71.67,27.939
100.754,50.0142,75.5371,24.052
99.3142,49.5118,79.6428,24.207
100.244,49.7827,76.5583,24.021
101.105,49.8061,74.1363,23.938
108.041,49.9837,77.061,30.433
103.907,50.3172,75.568,26.503
108.253,50.3357,76.793,30.444
107.638,50.6805,77.245,30.124
101.434,49.6675,79.1937,25.867
104.763,49.5379,78.394,28.277
100.331,49.2115,76.623,24.068
99.301,49.7616,77.4737,23.396
103.918,49.869,75.64,26.661
110.363,50.0833,74.375,31.019
100.645,50.0508,77.8741,24.774
102.457,49.833,79.282,26.771
104.745,50.1806,74.648,26.62
107.041,50.0642,73.164,28.116
103.998,49.412,75.299,26.754
103.003,49.9102,77.795,26.556
110.011,49.7769,76.176,31.365
104.997,49.929,75.694,27.591
108.181,49.6353,76.066,30.569
104.007,49.7391,76.667,27.098
95.5016,50.101,76.7845,20.312
107.317,50.0155,76.406,29.768
104.629,49.3701,75.935,27.488
96.846,49.286,77.3816,21.483
92.5371,49.131,78.7999,18.29
101.468,49.9296,76.8557,25.035
103.346,49.9364,74.042,25.779
98.4515,49.3274,76.0398,22.497
105.096,50.1274,76.459,27.84
99.0158,49.5542,74.8016,22.356
93.6704,49.704,78.9741,19.352
103.49,49.711,75.651,26.388
95.0008,49.5213,80.9666,20.895
102.805,49.5779,79.685,27.107
107.633,49.7424,77.465,30.469
101.462,49.7843,76.2747,24.791
110.66,50.5759,73.664,31.026
102.473,49.7728,76.1337,25.653
117.794,50.963,72.141,36.158
101.993,49.8379,78.5938,26.242
103.194,50.3588,77.953,26.842
99.4598,49.8438,76.5808,23.294
105.99,49.6538,76.83,28.698
101.336,50.0774,78.2975,25.339
109.788,49.96,73.167,30.431
96.0024,49.6379,76.5611,20.692
104.559,50.2071,75.946,27.194
104.699,49.7744,75.41,27.039
109.122,50.0337,72.833,29.81
109.995,50.4136,76.217,31.935
103.638,49.7472,75.997,26.787
102.897,49.868,75.231,25.768
104.994,49.7497,75.813,27.749
115.028,50.0423,73.741,34.837
113.951,50.0592,74.703,34.71
108.14,50.4619,75.645,29.805
98.938,49.2866,77.7477,23.297
108.007,50.2347,74.647,29.308
103.216,50.1113,74.1459,25.372
109.862,49.7931,72.054,30.093
113.319,50.3585,76.445,34.476
102.938,50.0694,76.385,26.185
102.66,50.1712,79.379,27.072
100.103,49.705,75.679,23.598
99.859,49.7676,74.8596,23.188
108.753,49.8394,73.138,29.399
108.764,50.1873,74.116,30.231
96.0262,49.3364,81.7039,22.217
110.302,49.631,77.593,32.386
108.474,49.8525,76.681,30.87
121.957,50.66,73.036,39.311
105.854,50.1739,77.385,28.932
104.773,49.7238,72.668,26.193
107.902,50.1639,72.5,28.908
108.698,49.9683,73.646,29.762
109.184,49.9158,72.906,29.809
95.5131,49.907,76.6076,20.216
103.302,50.0224,77.811,26.941
99.6168,49.5361,76.4968,23.544
107.442,50.2239,76.778,29.808
104.577,49.9154,76.472,27.211
101.615,49.8699,78.3737,25.813
101.525,50.0426,75.5505,24.684
105.32,49.6419,76.386,28.079
100.801,50.0406,78.548,25.306
100.615,50.1204,78.4566,24.95
98.1865,49.472,77.6294,22.781
105.23,49.7367,79.342,29.008
99.7487,49.637,77.9307,23.981
100.663,49.8131,79.9037,25.439
109.894,49.8891,76.536,31.652
99.2429,49.3353,76.3894,23.11
109.582,49.6159,71.243,29.745
113.396,50.1007,72.172,32.975
109.523,50.2079,74.244,30.232
112.567,50.475,73.385,33.115
106.838,50.7142,75.39,28.669
101.173,49.8638,75.7764,24.338
112.908,50.2461,76.283,34.056
101.813,49.4876,78.7373,26.012
96.0982,49.5282,79.0418,21.479
103.507,49.4217,75.286,26.175
108.407,49.6588,79.594,32.05
101.847,49.5081,76.7203,25.28
107.887,50.0991,75.234,29.509
113.695,50.3468,74.081,34.06
112.76,50.1186,73.013,32.729
109.425,49.7495,75.526,31.346
89.2478,49.2567,79.49232,15.818
112.886,49.4566,73.968,33.235
105.751,50.1016,76.291,28.353
113.863,50.2763,74.923,34.302
92.9486,49.4328,80.3958,18.951
101.169,50.3885,77.0949,24.891
107.202,50.1026,75.301,29.007
113.651,49.6743,71.922,33.143
105.158,49.8471,75.79,28.005
92.9564,49.5563,78.2363,18.584
108.861,49.8953,75.79,30.951
101.804,49.6584,78.3448,25.994
106.453,49.729,72.533,28.528
119.026,50.2424,72.216,37.483
106.407,49.6349,74.022,28.334
102.042,49.3793,77.0492,25.414
100.933,49.8675,78.3455,25.12
93.4594,49.3874,77.9454,18.962
110.829,50.067,73.662,31.358
106.426,49.9762,77.437,29.478
112.363,50.4971,80.247,34.957
103.84,49.7384,78.046,27.517
108.792,50.518,73.243,29.431
106.128,49.6991,76.297,28.841
100.292,50.2131,76.5906,23.926
101.679,49.7976,73.7101,24.431
107.893,49.9951,75.804,29.894
110.121,50.8504,74.206,31.056
92.1137,49.3896,78.5533,17.968
112.455,50.1525,72.791,32.382
101.949,50.2483,75.7644,25.13
104.44,50.1076,75.712,26.939
105.681,50.3584,80.422,29.532
120.172,50.4267,69.61,36.559
99.9682,49.1854,75.4601,23.478
111.938,50.5505,73.27,31.887
112.163,50.4046,75.595,33.59
99.5595,49.243,76.4845,23.426
97.1552,49.3977,78.0281,21.917
103.129,49.5839,77.652,26.676
117.602,51.0401,72.829,36.768
90.2044,49.5191,79.53933,16.732
105.623,49.7641,75.76,28.083
